Booth No,Village / Polling Station (English),Village / Polling Station (Punjabi),AAP Status,2022 Total Polled,2022 Winner,2022 Margin,2022 AAP Votes,2022 AAP %,2022 INC Votes,2022 INC %,2022 SAD Votes,2022 SAD %,2022 PLC/BJP Votes,2022 PLC/BJP %,2024 Total Polled,2024 Winner,2024 Margin,2024 AAP Votes,2024 AAP %,2024 INC Votes,2024 INC %,2024 BJP Votes,2024 BJP %,2024 SAD Votes,2024 SAD %,AAP Vote Shift (+/-),AAP Swing % (+/-),INC Swing % (+/-),BJP Swing % (+/-),SAD Swing % (+/-),Turnout Diff,Turnout Diff %
27,"Gali Veerowali, Nagar Nigam, Amritsar, Ward No. 49 + Gali Mela Singh, Nagar Nigam Amritsar, Ward No. 49 + Gali Dasodha Wali, Nagar Nigam Amritsar, Ward No. 49 + Hak Malviyan, Nagar Nigam Amritsar, Ward No. 48 + Bazaar Joda Pipal, Nagar Nigam Amritsar, Ward No. 48 + Gali Deva Singh, Nagar Nigam Amritsar, Ward No. 48 + Kucha Shaheed Pehalwan, Nagar Nigam Amritsar, Ward No. 48 + Kucha Dayal Singh, Nagar Nigam Amritsar, Ward No. 49 + Kanak Mandi, Nagar Nigam Amritsar, Ward No. 49 + Lakkar Mandi, Nagar Nigam Amritsar, Ward No. 49 + Chah Basti Ram, Nagar Nigam Amritsar, Ward No. 49 + Chitpurni Chowk, Nagar Nigam Amritsar, Ward No. 49 + Gali Tambaku Kuta, Nagar Nigam Amritsar, Ward No. 49","ਗਲੀ ਵੀਰੋਵਾਲੀ, ਨਗਰ ਨਿਗਮ, ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 49 + ਗਲੀ ਮੇਲਾ ਸਿੰਘ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ.49 + ਗਲੀ ਦਸੌਧਾ ਵਾਲੀ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 49 + ਹਾਕ ਮਾਲਵੀਆਂ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 48 + ਬਾਜ਼ਾਰ ਜੋੜਾ ਪਿੱਪਲ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 48 + ਗਲੀ ਦੇਵਾ ਸਿੰਘ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 48 + ਕੂਚਾ ਸ਼ਹੀਦ ਪਹਿਲਵਾਨ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 48 + ਕੂਚਾ ਦਿਆਲ ਸਿੰਘ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 49 + ਕਣਕ ਮੰਡੀ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 49 + ਲੱਕੜ ਮੰਡੀ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 49 + ਚਾਹ ਬਸਤੀ ਰਾਮ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 49 + ਚਿੱਤਪੁਰਨੀ ਚੌਕ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 49 + ਗਲੀ ਤੰਬਾਕੂ ਕੁਟਾ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 49",Lost in 2024 (to BJP),508,AAP,47,236,46.46,189,37.2,61,12.01,16,3.15,410,BJP,153,72,17.56,83,20.24,236,57.56,14,3.41,-164,-28.9,-16.96,54.41,-8.6,-98,-19.29
28,"Gali Veere Wali, Nagar Nigam Amritsar, Ward No. 49 + Gali Ichha Ram, Nagar Nigam Amritsar, Ward No. 49 + Shiv Gali, Nagar Nigam Amritsar, Ward No. 49 + Swank Mandi, Nagar Nigam Amritsar, Ward No. 49","ਗਲੀ ਵੀਰੇ ਵਾਲੀ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 49 + ਗਲੀ ਇੱਛਾਂ ਰਾਮ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 49 + ਸ਼ਿਵ ਗਲੀ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 49 + ਸਵਾਂਕ ਮੰਡੀ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 49",Lost in 2024 (to BJP),525,AAP,118,268,51.05,150,28.57,45,8.57,44,8.38,404,BJP,189,43,10.64,72,17.82,261,64.6,18,4.46,-225,-40.41,-10.75,56.22,-4.11,-121,-23.05
29,"Bazaar Chhatrian, Nagar Nigam Amritsar, Ward No. 49 + Namak Mandi, Nagar Nigam Amritsar, Ward No. 49 + Gali Jandi Wali, Nagar Nigam Amritsar, Ward No. 49 + Kandhariyan Gali, Nagar Nigam Amritsar, Ward No. 49","ਬਾਜ਼ਾਰ ਛੱਤਰੀਆਂ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 49 + ਨਮਕ ਮੰਡੀ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 49 + ਗਲੀ ਜੰਡੀ ਵਾਲੀ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 49 + ਕੰਧਾਰੀਆਂ ਗਲੀ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 49",Lost in 2024 (to BJP),521,AAP,62,230,44.15,168,32.25,85,16.31,22,4.22,397,BJP,181,47,11.84,73,18.39,254,63.98,15,3.78,-183,-32.31,-13.86,59.76,-12.53,-124,-23.8
30,"Gali Talian Wali, Nagar Nigam Amritsar, Ward No. 49 + Krishna Gali, Nagar Nigam Amritsar, Ward No. 49","ਗਲੀ ਤਲੀਆਂ ਵਾਲੀ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ.49 + ਕ੍ਰਿਸ਼ਨਾ ਗਾਲੀ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 49",Lost in 2024 (to BJP),677,AAP,173,341,50.37,168,24.82,109,16.1,21,3.1,581,BJP,69,143,24.61,127,21.86,212,36.49,85,14.63,-198,-25.76,-2.96,33.39,-1.47,-96,-14.18
31,"Chowk Bazar Lachhmansar, Nagar Nigam Amritsar, Ward No. 46 + Gali Gujjran Wali, Nagar Nigam Amritsar, Ward No. 46 + Gali Hansli Wali Kucha Harnam Das, Nagar Nigam Amritsar, Ward No. 46 + Kucha Deen (Neel Wali Gali), Nagar Nigam Amritsar, Ward No. 46 + Kucha Maape Shah Gali Hansli, Nagar Nigam Amritsar, Ward No. 46 + Kucha Deen Ghumiar, Nagar Nigam Amritsar, Ward No. 46 + Kucha Roadways Gali Hansli Wali, Nagar Nigam Amritsar, Ward No. 46 + Bazar Baba Sahib, Nagar Nigam Amritsar, Ward No. 46 + Gali Hansli Wali, Nagar Nigam Amritsar, Ward No. 46 + Gali Budha Singh, Nagar Nigam Amritsar, Ward No. 46","ਚੌਕ ਬਜ਼ਾਰ ਲਛਮਣਸਰ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 46 + ਗਲੀ ਗੁੱਜਰਾਂ ਵਾਲੀ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 46 + ਗਲੀ ਹੰਸਲੀ ਵਾਲੀ ਕੁਚਾ ਹਰਨਾਮ ਦਾਸ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 46 + ਕੁਚਾ ਦੀਨ (ਨੀਲ ਵਾਲੀ ਗਲੀ), ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 46 + ਕੁਚਾ ਮਾਪੇ ਸ਼ਾਹ ਗਲੀ ਹੰਸਲੀ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 46 + ਕੁਚਾ ਦੀਨ ਘੁਮਿਆਰ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 46 + ਕੁਚਾ ਰੋਡਵੈਂਸ ਗਲੀ ਹੰਸਲੀ ਵਾਲੀ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 46 + ਬਾਜ਼ਾਰ ਬਾਬਾ ਸਾਹਿਬ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 46 + ਗਲੀ ਹੰਸਲੀ ਵਾਲੀ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 46 + ਗਲੀ ਬੁੱਢਾ ਸਿੰਘ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 46",Lost in 2024 (to BJP),456,AAP,167,258,56.58,91,19.96,74,16.23,23,5.04,429,BJP,92,114,26.57,80,18.65,206,48.02,24,5.59,-144,-30.01,-1.31,42.98,-10.64,-27,-5.92
32,"Gali Suniarian, Nagar Nigam Amritsar, Ward No. 49 + Gali Beri Wali Katra Mit Singh, Nagar Nigam Amritsar, Ward No. 49 + Katra Dal Singh Bucha Kalian, Nagar Nigam Amritsar, Ward No. 49 + Meti Bazar Katra Mit Singh, Nagar Nigam Amritsar, Ward No. 49 + Katra Dal Singh Bucha Putap Singh, Nagar Nigam Amritsar, Ward No. 49 + Gali Makhaiyan Meti Bazar Katra Mit Singh, Nagar Nigam Amritsar, Ward No. 49 + Bazar Katra Mit Singh Bucha Balwant Singh, Nagar Nigam Amritsar, Ward No. 49 + Katra Mit Singh Pethe Wala Bazar, Nagar Nigam Amritsar, Ward No. 49 + Bazar Pethe Wala Katra Mit Singh, Nagar Nigam Amritsar, Ward No. 49 + Gali Ruda Mal Bhatia Meti Bazar, Nagar Nigam Amritsar, Ward No. 49 + Bazar Katra Mit Singh Gali Tara Chand, Nagar Nigam Amritsar, Ward No. 49 + Gali Bura Attar Meti Bazar, Nagar Nigam Amritsar, Ward No. 49 + Katra Mit Singh Gali Charan Singh, Nagar Nigam Amritsar, Ward No. 49 + Gali Sukha Thanedar Meti Bazar, Nagar Nigam Amritsar, Ward No. 49 + Gali Nikka Meti Bazar, Nagar Nigam Amritsar, Ward No. 49","ਗਲੀ ਸੁਨਿਆਰਿਆਂ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 49 + ਗਲੀ ਬੇਰੀ ਵਾਲੀ ਕਟੜਾ ਮਿੱਤ ਸਿੰਘ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 49 + ਕਟੜਾ ਦੱਲ ਸਿੰਘ ਬੂਚਾ ਕਾਲੀਆਂ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ.49 + ਮੇਤੀ ਬਾਜ਼ਾਰ ਕਟੜਾ ਮਿੱਤ ਸਿੰਘ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 49 + ਕਟੜਾ ਦੱਲ ਸਿੰਘ ਬੂਚਾ ਪੁਤਾਪ ਸਿੰਘ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 49 + ਗਲੀ ਮਖਾਇਆਂ ਮੇਤੀ ਬਾਜ਼ਾਰ ਕਟੜਾ ਮਿੱਤ ਸਿੰਘ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 49 + ਬਾਜ਼ਾਰ ਕਟੜਾ ਮਿੱਤ ਸਿੰਘ ਬੂਚਾ ਬਲਵੰਤ ਸਿੰਘ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 49 + ਕਟੜਾ ਮਿੱਤ ਸਿੰਘ ਪੇਠੇ ਵਾਲਾ ਬਾਜ਼ਾਰ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 49 + ਬਾਜ਼ਾਰ ਪੇਠੇ ਵਾਲਾ ਕਟੜਾ ਮਿੱਤ ਸਿੰਘ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 49 + ਗਲੀ ਰੂੜਾ ਮੱਲ ਭਾਟੀਆ ਮੇਤੀ ਬਾਜ਼ਾਰ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ.49 + ਬਾਜ਼ਾਰ ਕਟੜਾ ਮਿੱਤ ਸਿੰਘ ਗਲੀ ਤਾਰਾ ਚੰਦ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 49 + ਗਲੀ ਬੂੜਾ ਅੱਤਰ ਮੇਤੀ ਬਾਜ਼ਾਰ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 49 + ਕਟੜਾ ਮਿੱਤ ਸਿੰਘ ਗਲੀ ਚਰਨ ਸਿੰਘ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 49 + ਗਲੀ ਸੁੱਖਾ ਠਾਣੇਦਾਰ ਮੇਤੀ ਬਾਜ਼ਾਰ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 49 + ਗਲੀ ਨਿੱਕਾ ਮੇਤੀ ਬਾਜ਼ਾਰ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 49",Lost in 2024 (to BJP),574,AAP,213,328,57.14,115,20.03,89,15.51,26,4.53,449,BJP,107,115,25.61,69,15.37,222,49.44,36,8.02,-213,-31.53,-4.66,44.91,-7.49,-125,-21.78
33,"Gali Gujjran Wali, Nagar Nigam Amritsar Ward No. 46 + Gali Sangal Wali Nagar Nigam Amritsar, Ward No. 46 + Baba Sahib Chowk Gali Gujjran, Nagar Nigam Amritsar, Ward No. 46 + Gali Gujjran (Gali Jiwan Singh), Nagar Nigam Amritsar Ward No. 46 + Lakkad Mandi Dhab Basti Ram, Nagar Nigam Amritsar, Ward No. 46 + Kucha Dharname Shah, Nagar Nigam Amritsar, Ward No. 46 + Gali Bagh Wali (Kaka Singh), Nagar Nigam Amritsar, Ward No. 46 + Ram Vehra, Nagar Nigam Amritsar Ward No. 46","ਗਲੀ ਗุੱਜਰਾਂ ਵਾਲੀ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ ਵਾਰਡ ਨੰ. 46 + ਗਲੀ ਸੰਗਲ ਵਾਲੀ ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 46 + ਬਾਬਾ ਸਾਹਿਬ ਚੌਕ ਗਲੀ ਗੁੱਜਰਾਂ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 46 + ਗਲੀ ਗੁੱਜਰਾਂ (ਗਲੀ ਜੀਵਨ ਸਿੰਘ), ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ ਵਾਰਡ ਨੰ. 46 + ਲੱਕੜ ਮੰਡੀ ਢਾਬ ਬਸਤੀ ਰਾਮ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 46 + ਕੂਚਾ ਧਰਨਾਮੇ ਸ਼ਾਹ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 46 + ਗਲੀ ਬਾਗ ਵਾਲੀ (ਕਾਕਾ ਸਿੰਘ), ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 46 + ਰਾਮ ਵੇਹੜਾ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ ਵਾਰਡ ਨੰ 46",Won Both Times (Stronghold),427,AAP,153,255,59.72,52,12.18,102,23.89,2,0.47,374,AAP,18,130,34.76,72,19.25,112,29.95,43,11.5,-125,-24.96,7.07,29.48,-12.39,-53,-12.41
34,"Chawal Mandi Nagar Nigam Amritsar Ward No. 49 + Bazar Chatti Khuhi, Nagar Nigam Amritsar Ward No. 49 + Gali Mana Wali, Nagar Nigam Amritsar Ward No. 49 + Kucha Hari Ram Bazar Chatti Khuhi, Nagar Nigam Amritsar, Ward No. 49 + Bazar Chatti Khuhi Kucha Hari Dhobian, Nagar Nigam Amritsar, Ward No. 49 + Gali Khooh Wali Katra Dal Singh, Gali Arak Wali, Nagar Nigam Amritsar Ward No. 49 + Katra Dal Singh Arak Wali Gali Nagpal, Nagar Nigam Amritsar, Ward No. 49 + Gali Nagpal, Nagar Nigam Amritsar Ward No. 49 + Gali Arak Wali, Nagar Nigam Amritsar Ward No. 49 + Atta Mandi Chowk Chatti Khuhi Vehra Akalian, Nagar Nigam Amritsar, Ward No. 49 + Gali Chaudhrian Atta Mandi, Nagar Nigam Amritsar Ward No. 49 + Gali Dindi Mall, Nagar Nigam Amritsar Ward No. 49 + Gali Hansli, Nagar Nigam Amritsar Ward No. 49 + Gali Atta Mandi Dera Baba Sham Singh, Nagar Nigam Amritsar Ward No. 49","ਚਾਵਲ ਮੰਡੀ ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ ਵਾਰਡ ਨੰ.49 + ਬਜ਼ਾਰ ਛੱਤੀ ਖੂਹੀ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ ਵਾਰਡ ਨੰ.49 + ਗਲੀ ਮਾਨਾਂ ਵਾਲੀ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ ਵਾਰਡ ਨੰ.49 + ਕੂਚਾ ਹਰੀ ਰਾਮ ਬਾਜ਼ਾਰ ਛੱਤੀ ਖੂਹੀ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ.49 + ਬਜ਼ਾਰ ਛੱਤੀ ਖੂਹੀ ਕੂਚਾ ਹਰੀ ਧੋਬੀਆਂ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ.49 + ਗਲੀ ਖੂਹ ਵਾਲੀ ਕਟੜਾ ਦਲ ਸਿੰਘ, ਗਲੀ ਅਰਕ ਵਾਲੀ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ ਵਾਰਡ ਨੰ.49 + ਕਟੜਾ ਦਲ ਸਿੰਘ ਅਰਕ ਵਾਲੀ ਗਲੀ ਨਾਗਪਾਲ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 49 + ਗਲੀ ਨਾਗਪਾਲ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ ਵਾਰਡ ਨੰ.49 + ਗਲੀ ਅਰਕ ਵਾਲੀ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ ਵਾਰਡ ਨੰ.49 + ਆਟਾ ਮੰਡੀ ਚੌਕ ਛੱਤੀ ਖੂਹੀ ਵੇਹੜਾ ਅਕਾਲੀਆਂ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ.49 + ਗਲੀ ਚੌਧਰੀਆਂ ਆਟਾ ਮੰਡੀ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ ਵਾਰਡ ਨੰ.49 + ਗਲੀ ਡਿੰਡੀ ਮੱਲ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ ਵਾਰਡ ਨੰ.49 + ਗਲੀ ਹੰਸਲੀ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ ਵਾਰਡ ਨੰ.49 + ਗਲੀ ਆਟਾ ਮੰਡੀ ਡੇਰਾ ਬਾਬਾ ਸ਼ਾਮ ਸਿੰਘ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ ਵਾਰਡ ਨੰ.49",Lost in 2024 (to BJP),573,AAP,214,330,57.59,116,20.24,108,18.85,10,1.75,475,BJP,54,138,29.05,115,24.21,192,40.42,22,4.63,-192,-28.54,3.97,38.67,-14.22,-98,-17.1
35,"Guru Ramdas Nagar Gali No. 1 Bhagtanwala Nagar Nigam Amritsar Ward No. 50 + S.D. School Amritsar, Nagar Nigam Amritsar Ward No. 50 + Thatheri Mohalla Bhagtanwala, Nagar Nigam Amritsar Ward No. 50","ਗੁਰੂ ਰਾਮਦਾਸ ਨਗਰ ਗਲੀ ਨੰ.1 ਭਗਤਾਂਵਾਲਾ ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ ਵਾਰਡ ਨੰ. 50 + ਐਸ.ਡੀ. ਸਕੂਲ ਅੰਮ੍ਰਿਤਸਰ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ ਵਾਰਡ ਨੰ. 50 + ਠਠੇਰੀ ਮੁਹੱਲਾ ਭਗਤਾਂਵਾਲਾ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ ਵਾਰਡ ਨੰ. 50",Lost Both Times (Deficit),731,SAD,124,202,27.63,180,24.62,326,44.6,9,1.23,646,INC,38,160,24.77,198,30.65,142,21.98,73,11.3,-42,-2.86,6.03,20.75,-33.3,-85,-11.63
36,"Anusuchit Jati Colony, Bhagtanwala Nagar Nigam Amritsar Ward No. 50 + Gurudware Wali Gali Main Road, Nagar Nigam Amritsar Ward No. 50 + Mohan Flour Mills, Nagar Nigam Amritsar Ward No. 50 + Guru Nanak Chips, Nagar Nigam Amritsar Ward No. 50 + Anusuchit Jati Colony, Main Gali, Nagar Nigam Amritsar Ward No. 50 + Balmik Mandir Bhagtanwala, Nagar Nigam Amritsar Ward No. 50","ਅਨੁਸੂਚਿਤ ਜਾਤੀ ਕਲੋਨੀ, ਭਗਤਾਂਵਾਲਾ ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ ਵਾਰਡ ਨੰ. 50 + ਗੁਰਦੁਆਰੇ ਵਾਲੀ ਗਲੀ ਮੇਨ ਰੋਡ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ ਵਾਰਡ ਨੰ. 50 + ਮੋਹਣ ਫਲੋਰ ਮਿਲਜ਼, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ ਵਾਰਡ ਨੰ. 50 + ਗੁਰੂ ਨਾਨਕ ਚਿਪਸ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ ਵਾਰਡ ਨੰ. 50 + ਅਨੁਸੂਚਿਤ ਜਾਤੀ ਕਲੋਨੀ, ਮੇਨ ਗਲੀ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ ਵਾਰਡ ਨੰ. 50 + ਬਾਲਮੀਕ ਮੰਦਿਰ ਭਗਤਾਂਵਾਲਾ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ ਵਾਰਡ ਨੰ. 50",Weak Booth (< 20% Share),675,INC,6,192,28.44,235,34.81,229,33.93,4,0.59,487,INC,171,82,16.84,253,51.95,57,11.7,35,7.19,-110,-11.6,17.14,11.11,-26.74,-188,-27.85
37,"Gali Basant Singh Chowk Karedi, Nagar Nigam Amritsar Ward No. 46 + Gali Visakha Singh, Nagar Nigam Amritsar, Ward No. 46 + Gali Karam Singh, Nagar Nigam Amritsar, Ward No. 46 + Gali Mian Singh, Chowk Karedi to Gali Mona Singh, Nagar Nigam Amritsar, Ward No. 46 + Chowk Karedi Gali Mona Singh, Nagar Nigam Amritsar, Ward No. 46 + Gali Sarmukh Singh, Chowk Karedi Nagar Nigam Amritsar Ward No. 46","ਗਲੀ ਬਸੰਤ ਸਿੰਘ ਚੌਕ ਕਰੇੜੀ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ ਵਾਰਡ ਨੰ. 46 + ਗਲੀ ਵਿਸਾਖਾ ਸਿੰਘ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 46 + ਗਲੀ ਕਰਮ ਸਿੰਘ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 46 + ਗਲੀ ਮੀਆਂ ਸਿੰਘ, ਚੌਕ ਕਰੇੜੀ ਤੋਂ ਗਲੀ ਮੋਨਾ ਸਿੰਘ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 46 + ਚੌਕ ਕਰੇੜੀ ਗਲੀ ਮੋਨਾ ਸਿੰਘ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 46 + ਗਲੀ ਸਰਮੁੱਖ ਸਿੰਘ, ਚੌਕ ਕਰੇੜੀ ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ ਵਾਰਡ ਨੰ. 46",Won Both Times (Stronghold),339,AAP,102,186,54.87,51,15.04,84,24.78,5,1.47,269,AAP,29,94,34.94,65,24.16,58,21.56,26,9.67,-92,-19.93,9.12,20.09,-15.11,-70,-20.65
